pid= 116 pos= 0 sendgap= 15036 daggap= 1462339 rcvtsgap= 2000 seqno= 3535324385 3535324385 
pid= 116 pos= 1 sendgap= 15036 daggap= 15007 rcvtsgap= 2000 seqno= 3535333333 3535333333 
pid= 116 pos= 2 sendgap= 15036 daggap= 15043 rcvtsgap= 2000 seqno= 3535342281 3535342281 
pid= 116 pos= 3 sendgap= 15036 daggap= 15065 rcvtsgap= 2000 seqno= 3535351229 3535351229 
pid= 116 pos= 4 sendgap= 15036 daggap= 15019 rcvtsgap= 2000 seqno= 3535360177 3535360177 
pid= 116 pos= 5 sendgap= 15036 daggap= 15096 rcvtsgap= 108000 seqno= 3535369125 3535369125 
pid= 116 pos= 6 sendgap= 15036 daggap= 14975 rcvtsgap= 5000 seqno= 3535378073 3535378073 
pid= 116 pos= 7 sendgap= 15036 daggap= 16659 rcvtsgap= 4000 seqno= 3535387021 3535387021 
pid= 116 pos= 8 sendgap= 15036 daggap= 13650 rcvtsgap= 4000 seqno= 3535395969 3535395969 
pid= 116 pos= 9 sendgap= 15036 daggap= 14811 rcvtsgap= 3000 seqno= 3535404917 3535404917 
pid= 116 pos= 10 sendgap= 15036 daggap= 15357 rcvtsgap= 4000 seqno= 3535413865 3535413865 
pid= 116 pos= 11 sendgap= 15036 daggap= 14722 rcvtsgap= 3000 seqno= 3535422813 3535422813 
pid= 116 pos= 12 sendgap= 15036 daggap= 15080 rcvtsgap= 4000 seqno= 3535431761 3535431761 
pid= 116 pos= 13 sendgap= 15036 daggap= 14991 rcvtsgap= 4000 seqno= 3535440709 3535440709 
pid= 116 pos= 14 sendgap= 15036 daggap= 15042 rcvtsgap= 89000 seqno= 3535449657 3535449657 
pid= 116 pos= 15 sendgap= 15036 daggap= 15036 rcvtsgap= 5000 seqno= 3535458605 3535458605 
pid= 116 pos= 16 sendgap= 15036 daggap= 15035 rcvtsgap= 4000 seqno= 3535467553 3535467553 
pid= 116 pos= 17 sendgap= 15036 daggap= 15043 rcvtsgap= 3000 seqno= 3535476501 3535476501 
pid= 116 pos= 18 sendgap= 15036 daggap= 15056 rcvtsgap= 4000 seqno= 3535485449 3535485449 
pid= 116 pos= 19 sendgap= 15036 daggap= 15029 rcvtsgap= 4000 seqno= 3535494397 3535494397 
pid= 116 pos= 20 sendgap= 15036 daggap= 15035 rcvtsgap= 4000 seqno= 3535503345 3535503345 
pid= 116 pos= 21 sendgap= 15036 daggap= 15103 rcvtsgap= 14000 seqno= 3535512293 3535512293 
pid= 116 pos= 22 sendgap= 15036 daggap= 15027 rcvtsgap= 103000 seqno= 3535521241 3535521241 
pid= 116 pos= 23 sendgap= 15036 daggap= 14990 rcvtsgap= 10000 seqno= 3535530189 3535530189 
pid= 116 pos= 24 sendgap= 15036 daggap= 15043 rcvtsgap= 2000 seqno= 3535539137 3535539137 
pid= 116 pos= 25 sendgap= 15036 daggap= 15036 rcvtsgap= 2000 seqno= 3535548085 3535548085 
pid= 116 pos= 26 sendgap= 15036 daggap= 15065 rcvtsgap= 2000 seqno= 3535557033 3535557033 
pid= 116 pos= 27 sendgap= 15036 daggap= 15013 rcvtsgap= 2000 seqno= 3535565981 3535565981 
pid= 116 pos= 28 sendgap= 15036 daggap= 15042 rcvtsgap= 2000 seqno= 3535574929 3535574929 
pid= 116 pos= 29 sendgap= 15036 daggap= 15066 rcvtsgap= 2000 seqno= 3535583877 3535583877 
pid= 116 pos= 30 sendgap= 15036 daggap= 15020 rcvtsgap= 2000 seqno= 3535592825 3535592825 
pid= 116 pos= 31 sendgap= 15036 daggap= 15043 rcvtsgap= 84000 seqno= 3535601773 3535601773 
pid= 116 pos= 32 sendgap= 14096 daggap= 14164 rcvtsgap= 5000 seqno= 3535610721 3535610721 
pid= 116 pos= 33 sendgap= 14096 daggap= 14111 rcvtsgap= 2000 seqno= 3535619669 3535619669 
pid= 116 pos= 34 sendgap= 14096 daggap= 14633 rcvtsgap= 2000 seqno= 3535628617 3535628617 
pid= 116 pos= 35 sendgap= 14096 daggap= 13590 rcvtsgap= 2000 seqno= 3535637565 3535637565 
pid= 116 pos= 36 sendgap= 14096 daggap= 14059 rcvtsgap= 2000 seqno= 3535646513 3535646513 
pid= 116 pos= 37 sendgap= 14096 daggap= 14096 rcvtsgap= 2000 seqno= 3535655461 3535655461 
pid= 116 pos= 38 sendgap= 14096 daggap= 14104 rcvtsgap= 110000 seqno= 3535664409 3535664409 
pid= 116 pos= 39 sendgap= 14096 daggap= 14321 rcvtsgap= 4000 seqno= 3535673357 3535673357 
pid= 116 pos= 40 sendgap= 14096 daggap= 13902 rcvtsgap= 3000 seqno= 3535682305 3535682305 
pid= 116 pos= 41 sendgap= 14096 daggap= 14074 rcvtsgap= 2000 seqno= 3535691253 3535691253 
pid= 116 pos= 42 sendgap= 14096 daggap= 14142 rcvtsgap= 2000 seqno= 3535700201 3535700201 
pid= 116 pos= 43 sendgap= 14096 daggap= 14051 rcvtsgap= 2000 seqno= 3535709149 3535709149 
pid= 116 pos= 44 sendgap= 14096 daggap= 14104 rcvtsgap= 2000 seqno= 3535718097 3535718097 
pid= 116 pos= 45 sendgap= 14096 daggap= 14097 rcvtsgap= 1000 seqno= 3535727045 3535727045 
pid= 116 pos= 46 sendgap= 14096 daggap= 14104 rcvtsgap= 2000 seqno= 3535735993 3535735993 
pid= 116 pos= 47 sendgap= 14096 daggap= 14095 rcvtsgap= 107000 seqno= 3535744941 3535744941 
pid= 116 pos= 48 sendgap= 14096 daggap= 14105 rcvtsgap= 5000 seqno= 3535753889 3535753889 
